Date,Open,High,Low,Close,Adj Close,Volume
1/3/77,4.78125,4.851563,4.78125,4.851563,0.244416,198400
1/4/77,4.851563,4.875,4.796875,4.8125,0.242448,308800
1/5/77,4.8125,4.8125,4.65625,4.65625,0.234577,286400
1/6/77,4.65625,4.71875,4.65625,4.695313,0.236545,382400
1/7/77,4.695313,4.710938,4.664063,4.695313,0.236545,667200
1/10/77,4.695313,4.734375,4.65625,4.726563,0.238119,208000
1/11/77,4.726563,4.773438,4.671875,4.6875,0.236151,212800
1/12/77,4.671875,4.671875,4.59375,4.640625,0.233789,336000
1/13/77,4.640625,4.75,4.632813,4.75,0.2393,436800
1/14/77,4.75,4.75,4.6875,4.6875,0.236151,166400
1/17/77,4.6875,4.703125,4.65625,4.703125,0.236938,80000
1/18/77,4.6875,4.6875,4.671875,4.679688,0.235758,118400
1/19/77,4.6875,4.828125,4.6875,4.828125,0.243236,540800
1/20/77,4.828125,4.84375,4.75,4.75,0.2393,222400
1/21/77,4.75,4.765625,4.726563,4.726563,0.238119,100800
1/24/77,4.734375,4.789063,4.734375,4.78125,0.240874,299200
1/25/77,4.78125,4.804688,4.75,4.789063,0.241268,182400
1/26/77,4.796875,4.835938,4.796875,4.8125,0.242448,124800
1/27/77,4.8125,4.8125,4.796875,4.804688,0.242055,124800
1/28/77,4.804688,4.851563,4.796875,4.8125,0.242448,368000
1/31/77,4.8125,4.851563,4.78125,4.78125,0.240874,633600
2/1/77,4.78125,4.828125,4.78125,4.796875,0.241661,208000
2/2/77,4.796875,4.835938,4.78125,4.796875,0.241661,745600
2/3/77,4.796875,4.820313,4.78125,4.789063,0.241268,188800
2/4/77,4.804688,4.84375,4.804688,4.820313,0.242842,166400
2/7/77,4.820313,4.890625,4.820313,4.890625,0.246384,164800
2/8/77,4.945313,5.078125,4.945313,5.046875,0.254256,628800
2/9/77,5.1875,5.3125,5.1875,5.21875,0.262915,1396800
2/10/77,5.234375,5.273438,5.234375,5.265625,0.265276,851200
2/11/77,5.265625,5.289063,5.21875,5.265625,0.265276,622400
2/14/77,5.234375,5.234375,5.1875,5.234375,0.263702,491200
2/15/77,5.234375,5.265625,5.21875,5.25,0.264489,342400
2/16/77,5.226563,5.226563,5.1875,5.203125,0.262128,326400
2/17/77,5.203125,5.203125,5.109375,5.109375,0.257405,281600
2/18/77,5.109375,5.109375,5.046875,5.109375,0.257405,564800
2/22/77,5.101563,5.101563,5.0625,5.078125,0.25583,307200
2/23/77,5.078125,5.117188,5.078125,5.078125,0.25583,129600
2/24/77,5.078125,5.09375,5.015625,5.015625,0.252682,587200
2/25/77,5.015625,5.070313,5.007813,5.023438,0.253075,200000
2/28/77,5.023438,5.0625,5.023438,5.03125,0.253469,275200
3/1/77,5.03125,5.09375,5.023438,5.09375,0.256617,198400
3/2/77,5.09375,5.15625,5.085938,5.148438,0.259373,174400
3/3/77,5.15625,5.25,5.15625,5.195313,0.261734,188800
3/4/77,5.210938,5.335938,5.210938,5.3125,0.267638,635200
3/7/77,5.3125,5.328125,5.28125,5.28125,0.266064,289600
3/8/77,5.28125,5.351563,5.265625,5.296875,0.266851,401600
3/9/77,5.296875,5.296875,5.21875,5.296875,0.266851,233600
3/10/77,5.203125,5.203125,5.171875,5.1875,0.26134,561600
3/11/77,5.1875,5.21875,5.179688,5.1875,0.26134,480000
3/14/77,5.1875,5.203125,5.164063,5.164063,0.26016,204800
3/15/77,5.164063,5.195313,5.15625,5.164063,0.26016,390400
3/16/77,5.164063,5.179688,5.164063,5.164063,0.26016,632000
3/17/77,5.164063,5.203125,5.125,5.203125,0.262128,361600
3/18/77,5.21875,5.257813,5.21875,5.234375,0.263702,528000
3/21/77,5.21875,5.21875,5.125,5.125,0.258192,355200
3/22/77,5.125,5.140625,5.101563,5.117188,0.257798,172800
3/23/77,5.117188,5.132813,5.039063,5.054688,0.25465,449600
3/24/77,5.015625,5.015625,4.96875,4.984375,0.251107,680000
3/25/77,4.984375,5,4.960938,4.960938,0.249927,270400
3/28/77,4.960938,4.984375,4.960938,4.976563,0.250714,164800
3/29/77,4.984375,5.03125,4.984375,5.023438,0.253075,270400
3/30/77,5.023438,5.0625,5.015625,5.023438,0.253075,244800
3/31/77,5.023438,5.046875,5.015625,5.03125,0.253469,193600
4/1/77,5.03125,5.054688,5.03125,5.03125,0.253469,142400
4/4/77,5.03125,5.03125,5,5,0.251895,217600
